ruid,rid,startdate,enddate
1,336,2023-04-26,2023-05-04
2,175,2022-11-04,2022-11-13
3,92,2023-08-23,2023-09-02
4,176,2019-01-01,2019-01-14
5,259,2023-04-22,2023-04-26
6,443,2020-05-05,2020-05-09
7,351,2021-10-22,2021-10-26
8,148,2022-08-09,2022-08-16
9,373,2023-02-11,2023-02-24
10,325,2022-05-08,2022-05-15
12,212,2020-05-01,2020-05-14
15,204,2023-07-15,2023-07-19
16,218,2019-03-07,2019-03-17
17,450,2019-05-12,2019-05-22
19,150,2021-03-05,2021-03-17
20,108,2019-10-12,2019-10-19
21,355,2022-10-13,2022-10-25
22,24,2021-05-28,2021-06-05
23,281,2019-01-16,2019-01-25
24,112,2020-03-12,2020-03-22
25,226,2021-08-27,2021-09-01
26,293,2023-10-20,2023-10-29
27,285,2021-12-10,2021-12-24
29,356,2020-12-03,2020-12-16
30,10,2021-01-01,2021-01-14
31,418,2022-07-31,2022-08-11
32,430,2022-07-04,2022-07-08
33,309,2021-08-13,2021-08-25
34,48,2019-09-03,2019-09-16
35,70,2020-05-06,2020-05-10
36,244,2020-12-14,2020-12-19
37,393,2021-03-14,2021-03-25
38,69,2020-08-16,2020-08-23
39,52,2020-06-13,2020-06-27
40,83,2019-12-01,2019-12-14
41,195,2019-05-25,2019-06-07
43,132,2023-05-30,2023-06-07
45,337,2021-08-14,2021-08-24
46,198,2021-09-05,2021-09-11
47,148,2020-09-02,2020-09-09
48,4,2019-03-16,2019-03-26
49,395,2023-05-02,2023-05-16
50,196,2022-08-21,2022-08-26
51,18,2023-10-28,2023-11-09
52,220,2022-01-20,2022-01-28
53,201,2020-01-15,2020-01-25
54,207,2022-02-24,2022-03-01
56,310,2021-10-12,2021-10-17
58,255,2019-03-23,2019-04-02
59,112,2023-05-31,2023-06-14
60,365,2021-05-30,2021-06-02
62,341,2020-09-12,2020-09-24
64,165,2023-07-31,2023-08-03
65,152,2020-04-17,2020-04-30
66,231,2021-05-26,2021-06-01
67,97,2021-12-07,2021-12-11
68,422,2023-11-10,2023-11-23
69,28,2022-08-26,2022-09-05
70,237,2019-10-30,2019-11-12
71,353,2023-08-20,2023-08-27
73,294,2019-07-20,2019-07-31
74,10,2023-12-30,2024-01-07
75,347,2023-02-10,2023-02-24
76,161,2021-09-24,2021-10-05
77,31,2019-01-22,2019-01-28
79,49,2023-11-07,2023-11-21
80,8,2023-05-25,2023-06-01
82,2,2020-10-28,2020-11-09
83,159,2021-06-02,2021-06-08
85,72,2020-07-31,2020-08-03
86,288,2023-10-04,2023-10-18
88,449,2023-05-21,2023-05-30
90,416,2021-01-29,2021-02-04
91,47,2022-04-08,2022-04-14
93,380,2023-04-21,2023-05-01
94,222,2021-02-25,2021-03-05
95,55,2020-07-28,2020-08-08
96,426,2020-07-21,2020-07-25
97,43,2023-12-30,2024-01-07
98,393,2022-11-21,2022-11-24
99,225,2019-12-06,2019-12-13
100,115,2019-07-24,2019-07-28
101,393,2020-01-23,2020-02-05
102,384,2022-09-07,2022-09-17
103,274,2020-08-27,2020-09-09
104,318,2020-05-19,2020-05-24
105,186,2021-04-28,2021-05-11
106,415,2019-12-04,2019-12-10
107,363,2020-12-19,2020-12-25
108,390,2023-10-20,2023-10-29
109,162,2020-12-16,2020-12-27
110,359,2023-11-05,2023-11-17
111,161,2023-07-24,2023-08-07
113,25,2020-12-23,2020-12-26
114,5,2021-12-12,2021-12-26
117,220,2023-02-22,2023-02-27
118,345,2023-06-25,2023-06-28
121,190,2022-10-20,2022-11-01
122,58,2019-12-09,2019-12-13
123,371,2023-02-11,2023-02-22
124,63,2021-04-20,2021-04-23
125,62,2021-09-05,2021-09-13
126,355,2023-03-04,2023-03-13
127,5,2020-12-14,2020-12-19
128,319,2019-05-16,2019-05-22
129,162,2021-11-10,2021-11-20
130,63,2023-12-27,2024-01-11
132,36,2021-08-17,2021-08-20
133,381,2020-01-06,2020-01-10
134,150,2020-02-18,2020-02-21
135,342,2019-06-03,2019-06-17
137,312,2023-12-30,2024-01-07
138,326,2019-11-09,2019-11-22
139,399,2022-08-08,2022-08-15
140,103,2023-03-25,2023-04-03
