hid,chain,name,city
1,5,"Goodwin, Kohler and Bechtelar",Mayagüez
2,5,Kohler LLC,Humacao
3,4,"Kuhlman, Rodriguez and Luettgen",San Juan
4,1,Strosin-Flatley,Humacao
5,1,Bartoletti-Stanton,Arecibo
6,1,"Kautzer, Koepp and Lind",Arecibo
7,2,Glover-Heaney,Carolina
8,2,"Krajcik, Weissnat and Abernathy",Humacao
9,1,"Weimann, Kassulke and Feest",Carolina
10,2,Thiel and Sons,Carolina
11,5,Breitenberg Group,Ponce
12,1,Fritsch-Hilpert,Ponce
13,4,"Emard, Stracke and Klocko",Ponce
14,4,"Tillman, Cummerata and Lang",Arecibo
15,2,"Konopelski, Veum and Orn",Carolina
16,5,Kreiger Inc,Mayagüez
17,3,Rodriguez-Casper,Ponce
18,2,"McCullough, Schowalter and Bogisich",San Juan
19,3,Lowe LLC,San Juan
20,2,"Grant, Ankunding and Waelchi",Carolina
21,2,"Thiel, Bergnaum and Jacobi",Carolina
22,5,Hansen Inc,Ponce
23,5,Bernier-Lebsack,Mayagüez
24,1,"Borer, Koepp and Willms",Arecibo
25,1,"Bruen, Lehner and Cassin",Carolina
26,4,"Schumm, Howell and Kassulke",San Juan
27,2,Kuvalis-Bernhard,Carolina
28,3,Wolf-Deckow,Humacao
29,3,"Schultz, Renner and Hayes",San Juan
30,4,"O'Reilly, Hermiston and Dickens",Mayagüez
31,5,"Harris, Reynolds and Spencer",Carolina
32,4,"Barton, Hyatt and Daugherty",Mayagüez
33,3,Little-Boyle,Cabo Rojo
34,2,Gleichner Group,Ponce
35,1,Harvey and Sons,Carolina
36,5,Volkman-Jacobi,Ponce
37,5,Zulauf and Sons,Mayagüez
38,4,Stehr Inc,San Juan
39,1,"McKenzie, Barrows and Doyle",Humacao
40,5,"Fadel, Cummerata and Littel",Mayagüez
-1,-1,Administrative,San Juan
