ruid,rid,start_date,end_date
1.0,336.0,4/26/2023,5/4/2023
2.0,175.0,11/4/2022,11/13/2022
3.0,92.0,8/23/2023,9/2/2023
4.0,176.0,1/1/2019,1/14/2019
5.0,259.0,4/22/2023,4/26/2023
6.0,443.0,5/5/2020,5/9/2020
7.0,351.0,10/22/2021,10/26/2021
8.0,148.0,8/9/2022,8/16/2022
9.0,373.0,2/11/2023,2/24/2023
10.0,325.0,5/8/2022,5/15/2022
12.0,212.0,5/1/2020,5/14/2020
15.0,204.0,7/15/2023,7/19/2023
16.0,218.0,3/7/2019,3/17/2019
17.0,450.0,5/12/2019,5/22/2019
19.0,150.0,3/5/2021,3/17/2021
20.0,108.0,10/12/2019,10/19/2019
21.0,355.0,9/13/2022,9/25/2022
22.0,24.0,5/28/2021,6/5/2021
23.0,281.0,1/16/2019,1/25/2019
24.0,112.0,3/12/2020,3/22/2020
25.0,226.0,8/27/2021,9/1/2021
26.0,293.0,10/20/2023,10/29/2023
27.0,285.0,12/10/2021,12/24/2021
29.0,356.0,12/3/2020,12/16/2020
30.0,10.0,1/1/2021,1/14/2021
31.0,418.0,7/31/2022,8/11/2022
32.0,430.0,7/4/2022,7/8/2022
33.0,309.0,8/13/2021,8/25/2021
34.0,48.0,9/3/2019,9/16/2019
35.0,70.0,5/6/2020,5/10/2020
36.0,244.0,12/14/2020,12/19/2020
37.0,393.0,3/14/2021,3/25/2021
38.0,69.0,8/16/2020,8/23/2020
39.0,52.0,5/13/2020,5/27/2020
40.0,83.0,10/31/2019,11/14/2019
41.0,195.0,5/25/2019,6/7/2019
43.0,132.0,5/30/2023,6/7/2023
45.0,337.0,8/14/2021,8/24/2021
46.0,198.0,9/5/2021,9/11/2021
47.0,148.0,9/2/2020,9/9/2020
48.0,4.0,2/16/2019,2/26/2019
49.0,395.0,5/2/2023,5/16/2023
50.0,196.0,8/21/2022,8/26/2022
51.0,18.0,9/28/2023,10/9/2023
52.0,220.0,1/20/2022,1/28/2022
53.0,201.0,1/15/2020,1/25/2020
54.0,207.0,2/24/2022,3/1/2022
56.0,310.0,10/12/2021,10/17/2021
58.0,255.0,3/23/2019,4/2/2019
59.0,112.0,5/31/2023,6/14/2023
60.0,365.0,5/30/2021,6/2/2021
62.0,341.0,9/12/2020,9/24/2020
64.0,165.0,7/31/2023,8/3/2023
65.0,152.0,4/17/2020,4/30/2020
66.0,231.0,5/26/2021,6/1/2021
67.0,97.0,12/7/2021,12/11/2021
68.0,422.0,11/10/2023,11/23/2023
69.0,28.0,8/26/2022,9/5/2022
70.0,237.0,10/30/2019,11/12/2019
71.0,353.0,8/20/2023,8/27/2023
73.0,294.0,7/20/2019,7/31/2019
74.0,10.0,12/30/2023,1/7/2024
75.0,347.0,2/10/2023,2/24/2023
76.0,161.0,9/24/2021,10/5/2021
77.0,31.0,1/22/2019,1/28/2019
79.0,49.0,11/7/2023,11/21/2023
80.0,8.0,5/25/2023,6/1/2023
82.0,2.0,10/28/2020,11/9/2020
83.0,159.0,6/2/2021,6/8/2021
85.0,72.0,7/31/2020,8/3/2020
86.0,288.0,9/4/2023,9/18/2023
88.0,449.0,5/21/2023,5/30/2023
90.0,416.0,1/29/2021,2/4/2021
91.0,47.0,4/8/2022,4/14/2022
93.0,380.0,3/21/2023,4/1/2023
94.0,222.0,2/25/2021,3/5/2021
95.0,55.0,7/28/2020,8/8/2020
96.0,426.0,7/21/2020,7/25/2020
97.0,43.0,12/30/2023,1/7/2024
98.0,393.0,11/21/2022,11/24/2022
99.0,225.0,11/6/2019,11/13/2019
100.0,115.0,7/24/2019,7/28/2019
101.0,393.0,12/23/2019,1/5/2020
102.0,384.0,9/7/2022,9/17/2022
103.0,274.0,8/27/2020,9/9/2020
104.0,318.0,5/19/2020,5/24/2020
105.0,186.0,4/28/2021,5/11/2021
106.0,415.0,12/4/2019,12/10/2019
107.0,363.0,12/19/2020,12/25/2020
108.0,390.0,10/20/2023,10/29/2023
109.0,162.0,12/16/2020,12/27/2020
110.0,359.0,11/5/2023,11/17/2023
111.0,161.0,7/24/2023,8/7/2023
113.0,25.0,12/23/2020,12/26/2020
114.0,5.0,11/12/2021,11/26/2021
117.0,220.0,2/22/2023,2/27/2023
118.0,345.0,6/25/2023,6/28/2023
121.0,190.0,10/20/2022,11/1/2022
122.0,58.0,12/9/2019,12/13/2019
123.0,371.0,2/11/2023,2/22/2023
124.0,63.0,4/20/2021,4/23/2021
125.0,62.0,9/5/2021,9/13/2021
126.0,355.0,3/4/2023,3/13/2023
127.0,5.0,12/14/2020,12/19/2020
128.0,319.0,5/16/2019,5/22/2019
129.0,162.0,11/10/2021,11/20/2021
130.0,63.0,11/27/2023,12/11/2023
132.0,36.0,8/17/2021,8/20/2021
133.0,381.0,1/6/2020,1/10/2020
134.0,150.0,2/18/2020,2/21/2020
135.0,342.0,6/3/2019,6/17/2019
137.0,312.0,12/30/2023,1/7/2024
138.0,326.0,11/9/2019,11/22/2019
139.0,399.0,8/8/2022,8/15/2022
140.0,103.0,3/25/2023,4/3/2023
141.0,66.0,2/15/2021,2/26/2021
143.0,312.0,5/10/2022,5/24/2022
144.0,24.0,1/2/2020,1/13/2020
145.0,115.0,9/14/2022,9/22/2022
146.0,212.0,4/4/2022,4/14/2022
147.0,294.0,9/8/2022,9/11/2022
148.0,211.0,4/29/2023,5/5/2023
149.0,103.0,7/17/2021,7/27/2021
150.0,204.0,5/15/2019,5/23/2019
151.0,356.0,3/18/2023,3/28/2023
152.0,336.0,8/10/2020,8/13/2020
153.0,225.0,12/25/2022,1/4/2023
155.0,419.0,9/28/2019,10/5/2019
156.0,397.0,6/30/2023,7/7/2023
157.0,177.0,5/17/2022,5/21/2022
159.0,253.0,7/12/2021,7/22/2021
160.0,376.0,9/26/2022,10/3/2022
161.0,199.0,3/25/2021,4/2/2021
162.0,104.0,8/27/2020,9/9/2020
163.0,147.0,3/7/2019,3/12/2019
165.0,368.0,12/22/2022,12/29/2022
166.0,30.0,10/18/2023,10/23/2023
167.0,288.0,7/5/2020,7/9/2020
168.0,92.0,6/13/2020,6/27/2020
170.0,404.0,10/16/2022,10/25/2022
171.0,89.0,2/10/2021,2/17/2021
172.0,416.0,10/28/2020,11/9/2020
174.0,427.0,4/9/2022,4/21/2022
175.0,395.0,3/31/2019,4/12/2019
176.0,209.0,5/13/2023,5/19/2023
178.0,270.0,8/29/2022,9/10/2022
179.0,158.0,7/21/2022,7/24/2022
180.0,125.0,9/17/2023,9/20/2023
181.0,405.0,11/12/2019,11/24/2019
183.0,386.0,5/15/2019,5/23/2019
184.0,303.0,5/30/2023,6/9/2023
185.0,7.0,12/16/2023,12/20/2023
186.0,112.0,2/28/2023,3/14/2023
187.0,300.0,8/8/2022,8/15/2022
188.0,325.0,2/28/2019,3/3/2019
189.0,209.0,12/30/2019,1/9/2020
190.0,124.0,3/25/2023,4/8/2023
191.0,159.0,5/7/2021,5/15/2021
192.0,17.0,2/24/2022,3/10/2022
193.0,398.0,8/16/2019,8/21/2019
194.0,177.0,1/22/2019,1/28/2019
195.0,408.0,1/27/2019,2/4/2019
196.0,148.0,4/11/2021,4/14/2021
197.0,123.0,12/19/2020,12/25/2020
198.0,176.0,1/10/2021,1/16/2021
199.0,105.0,3/25/2022,4/8/2022
200.0,367.0,3/14/2023,3/17/2023
201.0,102.0,10/17/2023,10/20/2023
202.0,439.0,2/28/2022,3/10/2022
203.0,345.0,10/30/2021,11/10/2021
206.0,272.0,8/16/2019,8/30/2019
208.0,145.0,3/10/2022,3/15/2022
210.0,344.0,1/7/2024,1/14/2024
211.0,293.0,8/16/2019,8/27/2019
212.0,384.0,6/25/2020,7/4/2020
213.0,171.0,12/3/2022,12/12/2022
214.0,89.0,5/16/2019,5/24/2019
215.0,176.0,2/25/2020,3/6/2020
216.0,307.0,11/23/2022,12/2/2022
217.0,312.0,10/6/2019,10/17/2019
218.0,413.0,9/20/2020,9/29/2020
219.0,98.0,6/13/2019,6/26/2019
220.0,441.0,6/22/2021,7/6/2021
221.0,193.0,8/31/2023,9/9/2023
223.0,441.0,2/7/2019,2/20/2019
224.0,237.0,9/30/2021,10/3/2021
225.0,214.0,7/4/2022,7/8/2022
226.0,361.0,11/26/2021,11/29/2021
229.0,373.0,10/17/2021,10/20/2021
231.0,79.0,6/28/2020,7/7/2020
232.0,16.0,8/9/2020,8/17/2020
233.0,48.0,12/28/2021,1/6/2022
234.0,171.0,9/5/2019,9/18/2019
235.0,115.0,2/22/2022,2/27/2022
237.0,382.0,7/20/2019,7/31/2019
238.0,74.0,6/26/2019,7/8/2019
239.0,387.0,6/23/2021,6/28/2021
240.0,46.0,7/15/2023,7/18/2023
241.0,74.0,11/5/2021,11/11/2021
242.0,347.0,7/3/2020,7/17/2020
243.0,255.0,7/21/2021,7/24/2021
244.0,351.0,9/3/2021,9/12/2021
245.0,117.0,7/1/2020,7/4/2020
246.0,90.0,5/25/2020,6/1/2020
247.0,251.0,12/5/2023,12/11/2023
248.0,131.0,6/14/2020,6/17/2020
249.0,357.0,10/5/2021,10/15/2021
250.0,415.0,9/14/2021,9/24/2021
251.0,275.0,6/3/2021,6/17/2021
253.0,418.0,10/12/2020,10/16/2020
254.0,133.0,5/21/2023,5/30/2023
255.0,420.0,5/25/2019,5/29/2019
258.0,395.0,1/28/2024,2/2/2024
259.0,245.0,1/2/2021,1/9/2021
260.0,319.0,1/15/2024,1/19/2024
262.0,261.0,7/15/2020,7/29/2020
264.0,143.0,9/13/2023,9/26/2023
265.0,122.0,2/19/2021,2/25/2021
267.0,292.0,2/20/2020,3/2/2020
268.0,91.0,5/31/2021,6/10/2021
269.0,285.0,11/12/2019,11/24/2019
270.0,50.0,4/24/2022,5/2/2022
271.0,161.0,1/22/2023,2/4/2023
272.0,236.0,11/9/2021,11/12/2021
273.0,102.0,3/16/2020,3/26/2020
276.0,190.0,12/28/2021,1/6/2022
