ruid,rid,start_date,end_date
1,336,4/26/2023,5/4/2023
2,175,11/4/2022,11/13/2022
3,92,8/23/2023,9/2/2023
4,176,1/1/2019,1/14/2019
5,259,4/22/2023,4/26/2023
6,443,5/5/2020,5/9/2020
7,351,10/22/2021,10/26/2021
8,148,8/9/2022,8/16/2022
9,373,2/11/2023,2/24/2023
10,325,5/8/2022,5/15/2022
11,426,,11/10/2021
12,212,5/1/2020,5/14/2020
,201,11/11/2022,11/19/2022
14,207,9/3/2023,
15,204,7/15/2023,7/19/2023
16,218,3/7/2019,3/17/2019
17,450,5/12/2019,5/22/2019
,303,10/22/2023,10/30/2023
19,150,3/5/2021,3/17/2021
20,108,10/12/2019,10/19/2019
21,355,9/13/2022,9/25/2022
22,24,5/28/2021,6/5/2021
23,281,1/16/2019,1/25/2019
24,112,3/12/2020,3/22/2020
25,226,8/27/2021,9/1/2021
26,293,10/20/2023,10/29/2023
27,285,12/10/2021,12/24/2021
28,418,12/19/2023,
29,356,12/3/2020,12/16/2020
30,10,1/1/2021,1/14/2021
31,418,7/31/2022,8/11/2022
32,430,7/4/2022,7/8/2022
33,309,8/13/2021,8/25/2021
34,48,9/3/2019,9/16/2019
35,70,5/6/2020,5/10/2020
36,244,12/14/2020,12/19/2020
37,393,3/14/2021,3/25/2021
38,69,8/16/2020,8/23/2020
39,52,5/13/2020,5/27/2020
40,83,10/31/2019,11/14/2019
41,195,5/25/2019,6/7/2019
42,208,,2/9/2022
43,132,5/30/2023,6/7/2023
,267,7/21/2019,7/30/2019
45,337,8/14/2021,8/24/2021
46,198,9/5/2021,9/11/2021
47,148,9/2/2020,9/9/2020
48,4,2/16/2019,2/26/2019
49,395,5/2/2023,5/16/2023
50,196,8/21/2022,8/26/2022
51,18,9/28/2023,10/9/2023
52,220,1/20/2022,1/28/2022
53,201,1/15/2020,1/25/2020
54,207,2/24/2022,3/1/2022
55,178,,12/6/2022
56,310,10/12/2021,10/17/2021
57,85,,8/27/2023
58,255,3/23/2019,4/2/2019
59,112,5/31/2023,6/14/2023
60,365,5/30/2021,6/2/2021
61,,1/27/2019,2/4/2019
62,341,9/12/2020,9/24/2020
,250,12/14/2022,12/17/2022
64,165,7/31/2023,8/3/2023
65,152,4/17/2020,4/30/2020
66,231,5/26/2021,6/1/2021
67,97,12/7/2021,12/11/2021
68,422,11/10/2023,11/23/2023
69,28,8/26/2022,9/5/2022
70,237,10/30/2019,11/12/2019
71,353,8/20/2023,8/27/2023
,8,8/31/2019,9/9/2019
73,294,7/20/2019,7/31/2019
74,10,12/30/2023,1/7/2024
75,347,2/10/2023,2/24/2023
76,161,9/24/2021,10/5/2021
77,31,1/22/2019,1/28/2019
,284,7/22/2021,8/2/2021
79,49,11/7/2023,11/21/2023
80,8,5/25/2023,6/1/2023
,305,8/23/2019,9/6/2019
82,2,10/28/2020,11/9/2020
83,159,6/2/2021,6/8/2021
,61,7/10/2023,7/15/2023
85,72,7/31/2020,8/3/2020
86,288,9/4/2023,9/18/2023
87,,3/12/2021,3/15/2021
88,449,5/21/2023,5/30/2023
89,,10/28/2019,11/7/2019
90,416,1/29/2021,2/4/2021
91,47,4/8/2022,4/14/2022
92,224,1/28/2023,
93,380,3/21/2023,4/1/2023
94,222,2/25/2021,3/5/2021
95,55,7/28/2020,8/8/2020
96,426,7/21/2020,7/25/2020
97,43,12/30/2023,1/7/2024
98,393,11/21/2022,11/24/2022
99,225,11/6/2019,11/13/2019
100,115,7/24/2019,7/28/2019
101,393,12/23/2019,1/5/2020
102,384,9/7/2022,9/17/2022
103,274,8/27/2020,9/9/2020
104,318,5/19/2020,5/24/2020
105,186,4/28/2021,5/11/2021
106,415,12/4/2019,12/10/2019
107,363,12/19/2020,12/25/2020
108,390,10/20/2023,10/29/2023
109,162,12/16/2020,12/27/2020
110,359,11/5/2023,11/17/2023
111,161,7/24/2023,8/7/2023
112,219,,6/8/2020
113,25,12/23/2020,12/26/2020
114,5,11/12/2021,11/26/2021
115,365,,1/13/2024
116,,12/6/2022,12/11/2022
117,220,2/22/2023,2/27/2023
118,345,6/25/2023,6/28/2023
119,,6/20/2020,7/4/2020
120,193,,2/12/2022
